StationUID,StationID,AuthorityID,BikesCapacity,ServiceType,SrcUpdateTime,UpdateTime,StationName_Zh_tw,StationName_En,StationAddress_Zh_tw,StationAddress_En,PositionLon,PositionLat,GeoHash
TNN501331004,501331004,TNN,34,2,2023-05-17T16:48:16+08:00,2023-05-17T16:51:36+08:00,新營車站,Xinying Sta.,中山路1號(東南側),"No. 1, Zhongshan Rd.(Southeast)",120.32277,23.30647,wsjsd4b65
TNN501331005,501331005,TNN,15,2,2023-05-17T10:28:15+08:00,2023-05-17T16:51:36+08:00,天鵝湖公園,Swan Lake Park,中正路556-1號(停車場入口旁),"No. 556-1, Zhongzheng Rd.",120.31718,23.33157,wsjs9zkk1
TNN501331006,501331006,TNN,30,2,2023-05-17T16:51:17+08:00,2023-05-17T16:51:36+08:00,臺南市政府(民治中心),Tainan City Government (Minchi Center),民治路36號前,"No. 36, Minzhi Rd.",120.3146244,23.3110517,wsjs9gdkt
TNN501331007,501331007,TNN,20,2,2023-05-17T15:13:16+08:00,2023-05-17T16:51:36+08:00,新營轉運站,Xinying Transfer Sta.,新運二路/新運五路(東北側),Xinyun 2nd Rd. & Xinyun 5th Rd. Intersection(Northeast),120.28218,23.31069,wsjs95df9
TNN501331008,501331008,TNN,20,2,2023-05-17T16:42:17+08:00,2023-05-17T16:51:36+08:00,南新國中,Nanxin Junior High School,民治路150號(對側人行道),"No. 150, Minzhi Rd.(Opposite)",120.30762,23.30933,wsjs9em6d
TNN501331010,501331010,TNN,18,2,2023-05-17T16:50:26+08:00,2023-05-17T16:51:36+08:00,衛生局(東興辦公室),Public Health Bureau (Dongxing Office),東興路163號,"No. 163, Dongxing Rd.",120.32299,23.31511,wsjsdh2s2
TNN501331012,501331012,TNN,20,2,2023-05-17T16:37:16+08:00,2023-05-17T16:51:36+08:00,新營體育場第二停車場,Tainan Municipal Xinying Stadium 2nd Parking Lot,長榮路二段/健康路口,"Sec. 2, Changrong Rd. & Jiankang Rd. Intersection",120.31187,23.31984,wsjs9v0rv
TNN501335001,501335001,TNN,18,2,2023-05-17T15:01:17+08:00,2023-05-17T16:51:36+08:00,大臺南會展中心,ICC Tainan,歸仁十二路3號北側,Wudang Rd. & Guiren 12th Rd. Intersection(Northwest),120.28535,22.92226,wsjd3hv5g
TNN501335002,501335002,TNN,20,2,2023-05-17T15:47:15+08:00,2023-05-17T16:51:36+08:00,陽明交通大學(臺南校區),NYCU Tainan Campus,高發三路(北向人行道),Gaofa 3rd Rd.,120.2945475,22.9247914,wsjd3m7fd
TNN501335003,501335003,TNN,20,2,2023-05-17T16:22:16+08:00,2023-05-17T16:51:36+08:00,歸仁區公所(中正北路),Gueiren District Office(Zhongzheng N. Rd.),中正北路一段11號旁,"No. 11, Sec. 1, Zhongzheng N. Rd.",120.2946344,22.9672983,wsjd9m5fh
